name,fips,mi2
"Bamberg, SC",45009,395.49
"Bon Homme, SD",46009,581.37
"Roberts, SD",46109,1135.42
"Blount, TN",47009,566.66
"McNairy, TN",47109,560.87
"Archer, TX",48009,925.85
"Culberson, TX",48109,3812.94
"Hays, TX",48209,679.85
"McLennan, TX",48309,1060.27
"San Patricio, TX",48409,707.11
"Daggett, UT",49009,723.1
"Essex, VT",50009,673.83
"Amherst, VA",51009,478.81
"Louisa, VA",51109,510.83
"Clallam, WA",53009,2676.14
"Brooke, WV",54009,92.26
"Wyoming, WV",54109,501.85
"Brown, WI",55009,615.47
"St. Croix, WI",55109,735.85
"Converse, WY",56009,4265.29
"Juneau, AK",2110,3081.12
"Baltimore city, MD",24510,92.08
"St. Louis city, MO",29510,66.15
"Carson City city, NV",32510,155.85
"Alexandria, VA",51510,15.38
"Falls Church, VA",51610,2
"Norfolk, VA",51710,96.3
"Virginia Beach, VA",51810,497.35
"Bullock, AL",1011,626.11
"Randolph, AL",1111,584.15
"Greenlee, AZ",4011,1848.55
"Bradley, AR",5011,654.43
"Poinsett, AR",5111,763.44
"Colusa, CA",6011,1156.32
"Ventura, CA",6111,2208.36
"Bent, CO",8011,1541.25
"San Juan, CO",8111,388.31
"New London, CT",9011,771.71
"Broward, FL",12011,1319.74
"St. Lucie, FL",12111,688.13
"Banks, GA",13011,233.88
"Fannin, GA",13111,391.46
"Morgan, GA",13211,354.62
"White, GA",13311,242.18
"Bingham, ID",16011,2120.34
"Bureau, IL",17011,873.36
"McHenry, IL",17111,611.18
"Boone, IN",18011,423.31
"Newton, IN",18111,403.56
"Benton, IA",19011,718.52
"Lee, IA",19111,538.8
"Bourbon, KS",20011,638.88
"Lyon, KS",20111,855.21
"Bath, KY",21011,283.96
"Jefferson, KY",21111,398.6
"Shelby, KY",21211,385.67
"Beauregard, LA",22011,1166.06
"Union, LA",22111,905.36
"Kennebec, ME",23011,951.24
"Caroline, MD",24011,326.07
"Franklin, MA",25011,724.81
"Arenac, MI",26011,680.75
"Midland, MI",26111,527.92
"Big Stone, MN",27011,527.92
"Otter Tail, MN",27111,2225.03
"Bolivar, MS",28011,905.82
"Perry, MS",28111,650.24
"Barton, MO",29011,596.78
"Lewis, MO",29111,510.88
"Sullivan, MO",29211,651.48
"Carter, MT",30011,3348.41
"Yellowstone, MT",30111,2649.11
"Boone, NE",31011,687.3
"Lincoln, NE",31111,2575.27
"Eureka, NV",32011,4180.25
"Hillsborough, NH",33011,892.28
"Cumberland, NJ",34011,676.57
"De Baca, NM",35011,2334.02
"Cayuga, NY",36011,778.93
"Ulster, NY",36111,1160.82
"Avery, NC",37011,247.22
"McDowell, NC",37111,446.43
"Bowman, ND",38011,1167.03
"Auglaize, OH",39011,401.74
"Monroe, OH",39111,457.48
"Blaine, OK",40011,938.94
"Okmulgee, OK",40111,702.36
"Coos, OR",41011,1806.45
"Berks, PA",42011,865.68
"Somerset, PA",42111,1081.26
"Barnwell, SC",45011,557.29
"Brookings, SD",46011,804.82
"Sanborn, SD",46111,570.25
"Bradley, TN",47011,331.52
"Macon, TN",47111,307.2
"Armstrong, TX",48011,913.85
"Dallam, TX",48111,1505.37
"Hemphill, TX",48211,912.11
"McMullen, TX",48311,1142.71
"San Saba, TX",48411,1138.33
"Davis, UT",49011,633.57
"Franklin, VT",50011,692.66
"Appomattox, VA",51011,334.75
"Lunenburg, VA",51111,432.4
"Clark, WA",53011,656.26
"Cabell, WV",54011,288.04
"Buffalo, WI",55011,709.63
"Sauk, WI",55111,848.51
"Crook, WY",56011,2870.61
"La Paz, AZ",4012,4513.66
"Butler, AL",1013,777.99
"Russell, AL",1113,647.44
"Aleutians East, AK",2013,15011.77
"Maricopa, AZ",4013,9224.86
"Calhoun, AR",5013,632.59
"Polk, AR",5113,862.47
"Contra Costa, CA",6013,802.18
"Yolo, CA",6113,1022.87
"Boulder, CO",8013,751.4
"San Miguel, CO",8113,1288.54
"Tolland, CT",9013,417.03
"Calhoun, FL",12013,574.38
"Santa Rosa, FL",12113,1155.31
"Barrow, GA",13013,162.85
"Fayette, GA",13113,199.27
"Murray, GA",13213,346.9
"Whitfield, GA",13313,290.68
"Blaine, ID",16013,2661.14
"Calhoun, IL",17013,283.71
"McLean, IL",17113,1186.33
"Brown, IN",18013,316.65
"Noble, IN",18113,417.63
"Black Hawk, IA",19013,571.96
"Linn, IA",19113,724.62
"Brown, KS",20013,572.23
"McPherson, KS",20113,901.29
"Bell, KY",21013,361.36
"Jessamine, KY",21113,174.47
"Simpson, KY",21213,236.21
"Bienville, LA",22013,821.83
"Vermilion, LA",22113,1538.42
"Knox, ME",23013,1142.07
"Carroll, MD",24013,452.43
"Hampden, MA",25013,634.17
"Baraga, MI",26013,1069.12
"Missaukee, MI",26113,573.85
"Blue Earth, MN",27013,765.93
"Pennington, MN",27113,618.36
"Calhoun, MS",28013,588
"Pike, MS",28113,410.81
"Bates, MO",29013,851.45
"Lincoln, MO",29113,640.44
"Taney, MO",29213,651.53
"Cascade, MT",30013,2711.74
"Yellowstone National Park, MT",30113,246.12
"Box Butte, NE",31013,1077.92
"Logan, NE",31113,571.18
"Humboldt, NV",32013,9658.42
"Merrimack, NH",33013,956.56
"Essex, NJ",34013,129.59
"Dona Ana, NM",35013,3814.88
"Chautauqua, NY",36013,1500.19
"Warren, NY",36113,931.73
"Beaufort, NC",37013,958
"Macon, NC",37113,519.44
"Burke, ND",38013,1129.33
"Belmont, OH",39013,541.41
"Montgomery, OH",39113,464.39
"Bryan, OK",40013,943.49
"Osage, OK",40113,2303.94
"Crook, OR",41013,2987.55
"Blair, PA",42013,527.17
"Sullivan, PA",42113,452.37
"Beaufort, SC",45013,923
"Brown, SD",46013,1731.36
"Shannon, SD",46113,2096.72
"Campbell, TN",47013,498.27
"Madison, TN",47113,558.68
"Atascosa, TX",48013,1235.73
"Dallas, TX",48113,908.87
"Henderson, TX",48213,949.09
"Madison, TX",48313,472.48
"Schleicher, TX",48413,1310.74
"Duchesne, UT",49013,3256.29
"Grand Isle, VT",50013,194.66
"Arlington, VA",51013,25.97
"Madison, VA",51113,321.81
"Columbia, WA",53013,873.52
"Calhoun, WV",54013,280.65
"Burnett, WI",55013,880.44
"Sawyer, WI",55113,1350.44
"Fremont, WY",56013,9266.21
"Broomfield, CO",8014,0
"Calhoun, AL",1015,612.35
"St. Clair, AL",1115,653.66
"Mohave, AZ",4015,13470.5
"Carroll, AR",5015,642.33
"Pope, AR",5115,830.84
"Del Norte, CA",6015,1229.84
"Yuba, CA",6115,643.55
"Chaffee, CO",8015,1015.07
"Sedgwick, CO",8115,549.64
"Windham, CT",9015,521.51
"Charlotte, FL",12015,859.28
"Sarasota, FL",12115,725.27
"Bartow, GA",13015,470.56
"Floyd, GA",13115,518.5
"Muscogee, GA",13215,221.02
"Wilcox, GA",13315,383.32
"Boise, ID",16015,1906.81
"Carroll, IL",17015,465.81
"Macon, IL",17115,585.4
"Carroll, IN",18015,375.06
"Ohio, IN",18115,87.48
